Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,179,0,39,98.82843844690146,22.849574999781908,2365.6274690001737,105935.0,0.9976064925073665,0.0,39,53,66,73,120,440,860,2100,2400,2400,2400
GET,GET /alerts,97,0,66,137.223740453591,43.028035999668646,1979.0412590000415,366230.0,0.5406024009676791,0.0,66,86,110,120,200,290,1800,2000,2000,2000,2000
GET,GET /api/ai/history/sessions,220,0,24,87.38548690002558,11.79885799956537,2062.65265500042,47.0,1.2261085382772103,0.0,24,32,38,47,89,340,1800,2000,2100,2100,2100
GET,GET /api/elasticsearch/alerts/cases,490,0,31,64.65193217345772,15.380243999970844,1847.4727630000416,6413.0,2.7308781079810593,0.0,31,39,51,60,99,170,480,740,1800,1800,1800
GET,GET /api/notifications,324,0,37,83.5551957314737,18.984114999511803,2539.782899999409,219.73456790123456,1.8057234836446188,0.0,37,52,65,77,120,210,700,910,2500,2500,2500
GET,GET /api/notifications/unread-count,1191,0,37,111.74957130648677,17.971407999539224,2732.9829519994746,30.0,6.637705768582534,0.0,37,49,69,87,140,370,1400,1900,2700,2700,2700
GET,GET /api/observables,278,0,43,108.20580599642093,23.588315999404585,1889.5852870000454,18879.0,1.5493553347321112,0.0,44,58,82,91,140,530,1100,1500,1900,1900,1900
GET,GET /api/playbooks,336,0,47,160.4493056934703,28.645049999795447,2918.614279999929,49388.0,1.872602131187012,0.0,48,60,78,99,200,460,2400,2500,2900,2900,2900
GET,GET /cases,95,0,42,107.78828063155647,23.96749500076112,1602.5473409999904,123414.0,0.5294559597106135,0.0,42,57,71,83,120,440,1500,1600,1600,1600,1600
POST,POST /api/auth/login,50,0,630,805.062041000001,539.1034189997299,2101.7673680007647,173.64,0.27866103142663873,0.0,640,770,810,990,1400,1700,2100,2100,2100,2100,2100
,Aggregated,3260,0,39,115.50798758344287,11.79885799956537,2918.614279999929,28012.899079754603,18.168699249016843,0.0,39,53,70,86,160,510,1200,1800,2700,2900,2900
