Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,70,0,32,50.86252498570372,23.4377199994924,417.559572000755,105935.0,0.38958433104171697,0.0,33,41,54,63,80,160,210,420,420,420,420
GET,GET /alerts,47,0,63,81.96777323399223,43.208475999563234,341.79291399959766,366230.0,0.2615780508422957,0.0,63,78,86,91,130,170,340,340,340,340,340
GET,GET /api/ai/history/sessions,92,0,19,32.3764008478421,11.366822000127286,471.87237799971626,47.0,0.5120251207976851,0.0,19,25,30,33,45,78,220,470,470,470,470
GET,GET /api/elasticsearch/alerts/cases,183,0,27,39.47545160654393,14.236543999686546,252.5105650001933,6413.0,1.0184847511519173,0.0,27,32,41,47,81,110,190,230,250,250,250
GET,GET /api/notifications,158,0,29,45.58135131015039,19.26222600013716,561.4244200005487,220.4493670886076,0.8793474900655898,0.0,29,37,42,49,78,110,210,400,560,560,560
GET,GET /api/notifications/unread-count,507,0,32,51.36853619525463,17.493084999841813,569.3852820004395,31.323471400394478,2.8217036548307215,0.0,32,39,48,53,87,140,270,380,570,570,570
GET,GET /api/observables,111,0,37,52.84511692795465,24.43523300007655,283.70004699991114,18879.0,0.6177694392232941,0.0,37,46,53,60,110,140,230,260,280,280,280
GET,GET /api/playbooks,137,0,42,65.42783735769434,28.347096999823407,506.68615399990813,49388.0,0.7624721907530747,0.0,42,52,63,72,110,160,330,510,510,510,510
GET,GET /cases,42,0,30,48.380504714302894,24.195018000682467,223.13910800039594,123414.0,0.2337505986250302,0.0,30,38,40,57,100,130,220,220,220,220,220
POST,POST /api/auth/login,20,0,240,248.2108677999804,232.53225099961128,287.37057199941773,175.4,0.111309808869062,0.0,250,250,260,260,280,290,290,290,290,290,290
,Aggregated,1367,0,33,53.17250930651146,11.366822000127286,569.3852820004395,29192.02340892465,7.608025436200387,0.0,33,42,52,58,96,170,260,360,560,570,570
