Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,314,0,78,439.9973056751191,26.829983000425273,11582.88303200061,105935.0,1.7502450504487268,0.0,78,200,340,510,900,1500,5100,7500,12000,12000,12000
GET,GET /alerts,175,0,110,451.43925252569056,51.25152900018293,7822.426307000569,366230.0,0.9754550440398956,0.0,110,230,420,550,950,1900,4300,7200,7800,7800,7800
GET,GET /api/ai/history/sessions,419,0,59,419.39615734842283,13.249779000034323,9483.845452999958,47.0,2.335518076872664,0.0,59,160,300,460,830,1400,5600,8400,9500,9500,9500
GET,GET /api/elasticsearch/alerts/cases,772,0,75,376.4305492215,17.76185099970462,12471.753835000527,6413.0,4.303150251421711,0.0,75,200,370,470,910,1500,2700,3300,12000,12000,12000
GET,GET /api/notifications,594,0,90,422.1868234781176,22.882578000462672,11719.506115000513,196.42255892255892,3.3109731209125597,0.0,90,190,360,470,1200,1700,2600,5500,12000,12000,12000
GET,GET /api/notifications/unread-count,2032,0,90,431.83335628739985,21.3049840003805,11688.490952999928,30.0,11.326426568508959,0.0,90,200,370,510,970,1700,3000,5700,12000,12000,12000
GET,GET /api/observables,511,0,100,390.6856788767012,26.83655100008764,6115.034381999976,18879.0,2.848328728596495,0.0,100,210,390,570,1000,1700,2300,4900,6100,6100,6100
GET,GET /api/playbooks,584,0,130,569.7422407260095,34.37510499952623,11983.187797000028,49388.0,3.2552328326817084,0.0,140,280,460,650,1300,2100,5100,9200,12000,12000,12000
GET,GET /cases,223,0,85,325.8529257444006,26.351706000241393,9654.616372000419,123414.0,1.2430084275479811,0.0,85,180,390,470,780,1100,1900,2100,9700,9700,9700
POST,POST /api/auth/login,100,0,6600,6286.46307772997,384.6743439999045,11512.717608999992,173.91,0.5574028823085118,0.0,6600,7700,7900,8100,9200,12000,12000,12000,12000,12000,12000
,Aggregated,5724,0,95,532.0471891907699,13.249779000034323,12471.753835000527,29442.780922431866,31.90574098333921,0.0,95,220,410,570,1100,2200,5700,8000,12000,12000,12000
