Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,290,0,100,395.06868512759473,23.3561679997365,8397.883673000251,105935.0,1.620237135167478,0.0,110,220,420,560,990,1900,2500,3400,8400,8400,8400
GET,GET /alerts,205,0,130,435.73659363417653,46.79039599977841,7341.15528700022,366230.0,1.1453400438252863,0.0,130,280,390,620,1100,1600,2400,3600,7300,7300,7300
GET,GET /api/ai/history/sessions,400,0,67,444.7901989525192,10.96955400043953,9903.604308000467,47.0,2.2348098416103146,0.0,68,240,450,580,1200,2100,3300,5600,9900,9900,9900
GET,GET /api/elasticsearch/alerts/cases,800,0,84,514.4460437962322,17.001962999529496,10037.710012999923,6413.0,4.469619683220629,0.0,85,220,420,620,1600,2400,4000,7800,10000,10000,10000
GET,GET /api/notifications,602,0,93,491.9519594551505,20.931248999659147,11817.576301999907,194.1627906976744,3.3633888116235235,0.0,93,220,390,600,1500,2100,2800,4600,12000,12000,12000
GET,GET /api/notifications/unread-count,1965,0,100,463.6153941766079,18.802403999870876,10051.63119000008,30.0,10.97850334691067,0.0,100,240,480,680,1400,2100,3000,4400,10000,10000,10000
GET,GET /api/observables,491,0,130,504.5817669470621,26.64160600033938,6112.294241999734,18879.0,2.7432290805766613,0.0,130,270,530,730,1700,2300,3400,4000,6100,6100,6100
GET,GET /api/playbooks,601,0,130,523.614453695524,30.55999000025622,9107.31665899948,49388.0,3.357801787019498,0.0,130,320,550,810,1700,2300,2800,4300,9100,9100,9100
GET,GET /cases,191,0,100,492.7530471360822,25.81328599990229,6266.240674000073,123414.0,1.0671216993689252,0.0,100,230,550,750,1500,2300,3500,5800,6300,6300,6300
POST,POST /api/auth/login,100,0,4400,4791.436235060082,596.5768209998714,11083.844458000385,174.01,0.5587024604025786,0.0,4400,4800,5300,7000,10000,11000,11000,11000,11000,11000,11000
,Aggregated,5645,0,110,555.5765374490786,10.96955400043953,11817.576301999907,30764.32028343667,31.538753889725566,0.0,110,260,520,730,1600,2400,4400,5800,11000,12000,12000
