Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,154,0,38,66.79898731167137,23.301008000089496,837.8451830003542,105935.0,0.8599063741876978,0.0,39,47,54,61,120,210,380,660,840,840,840
GET,GET /alerts,111,0,69,107.22791345947084,47.147969999969064,689.4824589999189,366230.0,0.6198026463300939,0.0,69,80,96,110,200,330,500,630,690,690,690
GET,GET /api/ai/history/sessions,224,0,22,40.63084848661447,12.34155899965117,457.22067699989566,47.0,1.2507729079093786,0.0,22,30,37,47,74,140,210,350,460,460,460
GET,GET /api/elasticsearch/alerts/cases,530,0,31,53.26051149811391,17.11063499988086,551.2696830001005,6413.0,2.9594180410355833,0.0,31,40,47,56,91,170,340,420,550,550,550
GET,GET /api/notifications,381,0,37,58.07875101575536,19.86795499942673,422.6302580000265,210.38845144356955,2.1274307049708625,0.0,37,50,63,71,100,170,260,350,420,420,420
GET,GET /api/notifications/unread-count,1154,0,38,61.85749724089215,20.091364000109024,948.2491130002018,30.0,6.443713998783138,0.0,38,50,61,71,110,170,310,430,800,950,950
GET,GET /api/observables,295,0,48,72.90262969494259,26.44609499930084,481.61599499962904,18879.0,1.6472232492556549,0.0,48,62,76,88,140,210,250,420,480,480,480
GET,GET /api/playbooks,328,0,54,81.60417261279778,32.0134039993718,740.928176000125,49388.0,1.8314889008673043,0.0,55,68,81,100,160,230,340,470,740,740,740
GET,GET /cases,101,0,40,69.28073247525948,25.58857900021394,537.6093459999538,123414.0,0.5639645700841395,0.0,40,49,68,76,130,210,340,380,540,540,540
POST,POST /api/auth/login,50,0,370,451.0813887200129,272.3751519997677,903.97115199994,174.48,0.279190381229772,0.0,380,420,550,690,800,840,900,900,900,900,900
,Aggregated,3328,0,41,69.36723177313716,12.34155899965117,948.2491130002018,28465.091045673078,18.582911774653624,0.0,41,54,66,76,130,230,380,480,840,950,950
